Fund Holdings as of,"30/Aug/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"LOW","LOWES COMPANIES INC","Equity","0.25","204.99","530,655.00","108,778,968.45","108,778,968.45","Consumer Discretionary","US5486611073","New York Stock Exchange Inc.","United States","USD"
"UNP","UNION PACIFIC CORP","Equity","0.24","219.08","492,398.00","107,874,553.84","107,874,553.84","Industrials","US9078181081","New York Stock Exchange Inc.","United States","USD"
"1299","AIA GROUP LTD","Equity","0.24","12.06","8,898,074.00","107,309,665.06","107,309,665.06","Financials","HK0000069689","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"ULVR","UNILEVER PLC","Equity","0.24","55.65","1,919,239.00","106,803,899.04","106,803,899.04","Consumer Staples","GB00B10RZP78","London Stock Exchange","United Kingdom","GBP"
"MS","MORGAN STANLEY","Equity","0.24","104.09","1,021,193.00","106,295,979.37","106,295,979.37","Financials","US6174464486","New York Stock Exchange Inc.","United States","USD"
"BLK","BLACKROCK INC","Equity","0.24","948.08","109,817.00","104,115,301.36","104,115,301.36","Financials","US09247X1019","New York Stock Exchange Inc.","United States","USD"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.24","413.60","251,015.00","103,819,804.00","103,819,804.00","Financials","US38141G1040","New York Stock Exchange Inc.","United States","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.23","194.01","522,327.00","101,336,661.27","101,336,661.27","Industrials","US9113121068","New York Stock Exchange Inc.","United States","USD"
"SBUX","STARBUCKS CORP","Equity","0.22","115.61","852,054.00","98,505,962.94","98,505,962.94","Consumer Discretionary","US8552441094","NASDAQ","United States","USD"
"6758","SONY GROUP CORP","Equity","0.22","102.22","942,898.00","96,387,416.68","96,387,416.68","Consumer Discretionary","JP3435000009","Tokyo Stock Exchange","Japan","JPY"
"AMGN","AMGEN INC","Equity","0.22","224.13","427,918.00","95,909,261.34","95,909,261.34","Health Care","US0311621009","NASDAQ","United States","USD"
"AMD","ADVANCED MICRO DEVICES INC","Equity","0.22","111.32","850,636.00","94,692,799.52","94,692,799.52","Information Technology","US0079031078","NASDAQ","United States","USD"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Equity","0.21","73.29","1,276,867.00","93,583,544.97","93,583,544.97","Financials","AU000000CBA7","Asx - All Markets","Australia","AUD"
"AMT","AMERICAN TOWER REIT CORP","Equity","0.21","291.68","319,510.00","93,194,676.80","93,194,676.80","Real Estate","US03027X1000","New York Stock Exchange Inc.","United States","USD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Equity","0.21","84.80","1,095,474.00","92,896,195.20","92,896,195.20","Industrials","US75513E1010","New York Stock Exchange Inc.","United States","USD"
"NOW","SERVICENOW INC","Equity","0.21","641.65","143,466.00","92,054,958.90","92,054,958.90","Information Technology","US81762P1021","New York Stock Exchange Inc.","United States","USD"
"TGT","TARGET CORP","Equity","0.21","249.36","369,009.00","92,016,084.24","92,016,084.24","Consumer Discretionary","US87612E1064","New York Stock Exchange Inc.","United States","USD"
"AMAT","APPLIED MATERIAL INC","Equity","0.21","136.05","673,230.00","91,592,941.50","91,592,941.50","Information Technology","US0382221051","NASDAQ","United States","USD"
"SIE","SIEMENS N AG","Equity","0.21","166.86","547,954.00","91,432,403.36","91,432,403.36","Industrials","DE0007236101","Xetra","Germany","EUR"
"ISRG","INTUITIVE SURGICAL INC","Equity","0.20","1,058.91","83,828.00","88,766,307.48","88,766,307.48","Health Care","US46120E6023","NASDAQ","United States","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.20","138.97","638,641.00","88,751,939.77","88,751,939.77","Information Technology","US4592001014","New York Stock Exchange Inc.","United States","USD"
"BA","BOEING","Equity","0.20","217.66","402,093.00","87,519,562.38","87,519,562.38","Industrials","US0970231058","New York Stock Exchange Inc.","United States","USD"
"TD","TORONTO DOMINION","Equity","0.20","65.74","1,326,507.00","87,207,943.22","87,207,943.22","Financials","CA8911605092","Toronto Stock Exchange","Canada","CAD"
"OR","LOREAL SA","Equity","0.20","468.66","183,908.00","86,189,639.14","86,189,639.14","Consumer Staples","FR0000120321","Nyse Euronext - Euronext Paris","France","EUR"
"MRNA","MODERNA INC","Equity","0.19","370.69","230,606.00","85,483,338.14","85,483,338.14","Health Care","US60770K1079","NASDAQ","United States","USD"
"SAN","SANOFI SA","Equity","0.19","103.90","816,116.00","84,796,079.74","84,796,079.74","Health Care","FR0000120578","Nyse Euronext - Euronext Paris","France","EUR"
"CAT","CATERPILLAR INC","Equity","0.19","211.45","395,948.00","83,723,204.60","83,723,204.60","Industrials","US1491231015","New York Stock Exchange Inc.","United States","USD"
"TTE","TOTALENERGIES","Equity","0.19","44.49","1,880,442.00","83,657,347.21","83,657,347.21","Energy","FR0000120271","Nyse Euronext - Euronext Paris","France","EUR"
"GE","GENERAL ELECTRIC","Equity","0.19","105.19","793,755.00","83,495,088.45","83,495,088.45","Industrials","US3696043013","New York Stock Exchange Inc.","United States","USD"
"DE","DEERE","Equity","0.19","381.00","217,534.00","82,880,454.00","82,880,454.00","Industrials","US2441991054","New York Stock Exchange Inc.","United States","USD"
"6861","KEYENCE CORP","Equity","0.19","594.97","139,004.00","82,702,984.94","82,702,984.94","Information Technology","JP3236200006","Tokyo Stock Exchange","Japan","JPY"
"DGE","DIAGEO PLC","Equity","0.19","47.98","1,715,846.00","82,325,057.82","82,325,057.82","Consumer Staples","GB0002374006","London Stock Exchange","United Kingdom","GBP"
"AXP","AMERICAN EXPRESS","Equity","0.19","164.26","497,985.00","81,799,016.10","81,799,016.10","Financials","US0258161092","New York Stock Exchange Inc.","United States","USD"
"HSBA","HSBC HOLDINGS PLC","Equity","0.18","5.43","14,899,772.00","80,958,278.07","80,958,278.07","Financials","GB0005405286","London Stock Exchange","United Kingdom","GBP"
"MMM","3M","Equity","0.18","196.17","409,987.00","80,427,149.79","80,427,149.79","Industrials","US88579Y1010","New York Stock Exchange Inc.","United States","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.18","814.20","98,500.00","80,198,700.00","80,198,700.00","Communication","US16119P1084","NASDAQ","United States","USD"
"CVS","CVS HEALTH CORP","Equity","0.18","84.60","938,215.00","79,372,989.00","79,372,989.00","Health Care","US1266501006","New York Stock Exchange Inc.","United States","USD"
"SPGI","S&P GLOBAL INC","Equity","0.18","444.07","177,331.00","78,747,377.17","78,747,377.17","Financials","US78409V1044","New York Stock Exchange Inc.","United States","USD"
"SQ","SQUARE INC CLASS A","Equity","0.17","271.92","282,949.00","76,939,492.08","76,939,492.08","Information Technology","US8522341036","New York Stock Exchange Inc.","United States","USD"
"SCHW","CHARLES SCHWAB CORP","Equity","0.17","73.44","1,047,449.00","76,924,654.56","76,924,654.56","Financials","US8085131055","New York Stock Exchange Inc.","United States","USD"
"CSL","CSL LTD","Equity","0.17","226.47","326,316.00","73,901,585.63","73,901,585.63","Health Care","AU000000CSL8","Asx - All Markets","Australia","AUD"
"GSK","GLAXOSMITHKLINE PLC","Equity","0.17","20.30","3,639,113.00","73,876,057.28","73,876,057.28","Health Care","GB0009252882","London Stock Exchange","United Kingdom","GBP"
"SU","SCHNEIDER ELECTRIC","Equity","0.17","180.22","405,039.00","72,995,288.53","72,995,288.53","Industrials","FR0000121972","Nyse Euronext - Euronext Paris","France","EUR"
"BHP","BHP GROUP LTD","Equity","0.16","33.45","2,164,533.00","72,401,519.51","72,401,519.51","Materials","AU000000BHP4","Asx - All Markets","Australia","AUD"
"PLD","PROLOGIS REIT INC","Equity","0.16","133.73","531,869.00","71,126,841.37","71,126,841.37","Real Estate","US74340W1036","New York Stock Exchange Inc.","United States","USD"
"ZTS","ZOETIS INC CLASS A","Equity","0.16","205.89","338,999.00","69,796,504.11","69,796,504.11","Health Care","US98978V1035","New York Stock Exchange Inc.","United States","USD"
"ALV","ALLIANZ","Equity","0.16","234.00","295,307.00","69,101,178.87","69,101,178.87","Financials","DE0008404005","Xetra","Germany","EUR"
"ANTM","ANTHEM INC","Equity","0.15","370.57","181,051.00","67,092,069.07","67,092,069.07","Health Care","US0367521038","New York Stock Exchange Inc.","United States","USD"
"ADI","ANALOG DEVICES INC","Equity","0.15","166.98","398,114.00","66,477,075.72","66,477,075.72","Information Technology","US0326541051","NASDAQ","United States","USD"
"BKNG","BOOKING HOLDINGS INC","Equity","0.15","2,277.71","29,095.00","66,269,972.45","66,269,972.45","Consumer Discretionary","US09857L1089","NASDAQ","United States","USD"
"GILD","GILEAD SCIENCES INC","Equity","0.15","72.01","920,088.00","66,255,536.88","66,255,536.88","Health Care","US3755581036","NASDAQ","United States","USD"
"MO","ALTRIA GROUP INC","Equity","0.15","49.70","1,329,128.00","66,057,661.60","66,057,661.60","Consumer Staples","US02209S1033","New York Stock Exchange Inc.","United States","USD"
"LMT","LOCKHEED MARTIN CORP","Equity","0.15","362.05","182,383.00","66,031,765.15","66,031,765.15","Industrials","US5398301094","New York Stock Exchange Inc.","United States","USD"
"SYK","STRYKER CORP","Equity","0.15","274.08","240,517.00","65,920,899.36","65,920,899.36","Health Care","US8636671013","New York Stock Exchange Inc.","United States","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.15","62.16","1,036,607.00","64,435,491.12","64,435,491.12","Consumer Staples","US6092071058","NASDAQ","United States","USD"
"TJX","TJX INC","Equity","0.15","72.80","879,445.00","64,023,596.00","64,023,596.00","Consumer Discretionary","US8725401090","New York Stock Exchange Inc.","United States","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.15","209.07","305,653.00","63,902,872.71","63,902,872.71","Information Technology","US0530151036","NASDAQ","United States","USD"
"LRCX","LAM RESEARCH CORP","Equity","0.14","607.99","104,056.00","63,265,007.44","63,265,007.44","Information Technology","US5128071082","NASDAQ","United States","USD"
"RIO","RIO TINTO PLC","Equity","0.14","74.35","842,331.00","62,623,544.63","62,623,544.63","Materials","GB0007188757","London Stock Exchange","United Kingdom","GBP"
"BX","BLACKSTONE INC","Equity","0.14","124.41","501,132.00","62,345,832.12","62,345,832.12","Financials","US09260D1072","New York Stock Exchange Inc.","United States","USD"
"TMUS","T MOBILE US INC","Equity","0.14","137.90","451,257.00","62,228,340.30","62,228,340.30","Communication","US8725901040","NASDAQ","United States","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Equity","0.14","179.51","342,890.00","61,552,179.10","61,552,179.10","Materials","FR0000120073","Nyse Euronext - Euronext Paris","France","EUR"
"CB","CHUBB LTD","Equity","0.14","183.85","334,087.00","61,421,894.95","61,421,894.95","Financials","CH0044328745","New York Stock Exchange Inc.","United States","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.14","192.31","317,730.00","61,102,656.30","61,102,656.30","Real Estate","US22822V1017","New York Stock Exchange Inc.","United States","USD"
"BP.","BP PLC","Equity","0.14","4.16","14,611,645.00","60,808,461.09","60,808,461.09","Energy","GB0007980591","London Stock Exchange","United Kingdom","GBP"
"MELI","MERCADOLIBRE INC","Equity","0.14","1,878.90","32,293.00","60,675,317.70","60,675,317.70","Consumer Discretionary","US58733R1023","NASDAQ","United States","USD"
"RDSA","ROYAL DUTCH SHELL PLC","Equity","0.13","20.00","2,965,955.00","59,321,038.25","59,321,038.25","Energy","GB00B03MLX29","London Stock Exchange","United Kingdom","GBP"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.13","190.61","311,131.00","59,304,679.91","59,304,679.91","Financials","US6934751057","New York Stock Exchange Inc.","United States","USD"
"USB","US BANCORP","Equity","0.13","57.08","1,036,600.00","59,169,128.00","59,169,128.00","Financials","US9029733048","New York Stock Exchange Inc.","United States","USD"
"BATS","BRITISH AMERICAN TOBACCO PLC","Equity","0.13","37.13","1,584,128.00","58,821,036.95","58,821,036.95","Consumer Staples","GB0002875804","London Stock Exchange","United Kingdom","GBP"
"MU","MICRON TECHNOLOGY INC","Equity","0.13","73.16","803,608.00","58,791,961.28","58,791,961.28","Information Technology","US5951121038","NASDAQ","United States","USD"
"DUK","DUKE ENERGY CORP","Equity","0.13","104.79","558,371.00","58,511,697.09","58,511,697.09","Utilities","US26441C2044","New York Stock Exchange Inc.","United States","USD"
"EL","ESTEE LAUDER INC CLASS A","Equity","0.13","343.48","168,347.00","57,823,827.56","57,823,827.56","Consumer Staples","US5184391044","New York Stock Exchange Inc.","United States","USD"
"MMC","MARSH & MCLENNAN INC","Equity","0.13","156.41","369,145.00","57,737,969.45","57,737,969.45","Financials","US5717481023","New York Stock Exchange Inc.","United States","USD"
"6098","RECRUIT HOLDINGS LTD","Equity","0.13","58.01","993,800.00","57,654,053.96","57,654,053.96","Industrials","JP3970300004","Tokyo Stock Exchange","Japan","JPY"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.13","127.22","451,568.00","57,448,480.96","57,448,480.96","Information Technology","US31620M1062","New York Stock Exchange Inc.","United States","USD"
"AIR","AIRBUS GROUP","Equity","0.13","135.52","423,656.00","57,415,265.12","57,415,265.12","Industrials","NL0000235190","Nyse Euronext - Euronext Paris","France","EUR"
"COP","CONOCOPHILLIPS","Equity","0.13","56.20","1,018,118.00","57,218,231.60","57,218,231.60","Energy","US20825C1045","New York Stock Exchange Inc.","United States","USD"
"ENB","ENBRIDGE INC","Equity","0.13","39.56","1,439,300.00","56,938,586.81","56,938,586.81","Energy","CA29250N1050","Toronto Stock Exchange","Canada","CAD"
"SHW","SHERWIN WILLIAMS","Equity","0.13","305.31","185,447.00","56,618,823.57","56,618,823.57","Materials","US8243481061","New York Stock Exchange Inc.","United States","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Equity","0.13","109.81","513,951.00","56,435,196.19","56,435,196.19","Industrials","CA1363751027","Toronto Stock Exchange","Canada","CAD"
"PRX","PROSUS NV","Equity","0.13","83.05","677,382.00","56,258,716.30","56,258,716.30","Consumer Discretionary","NL0013654783","Euronext Amsterdam","Netherlands","EUR"
"TFC","TRUIST FINANCIAL CORP","Equity","0.13","56.79","989,144.00","56,173,487.76","56,173,487.76","Financials","US89832Q1094","New York Stock Exchange Inc.","United States","USD"
"BNS","BANK OF NOVA SCOTIA","Equity","0.13","62.43","895,950.00","55,934,154.59","55,934,154.59","Financials","CA0641491075","Toronto Stock Exchange","Canada","CAD"
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.13","165.19","337,434.00","55,740,722.46","55,740,722.46","Financials","US14040H1059","New York Stock Exchange Inc.","United States","USD"
"EQIX","EQUINIX REIT INC","Equity","0.13","840.03","65,933.00","55,385,697.99","55,385,697.99","Real Estate","US29444U7000","NASDAQ","United States","USD"
"ENEL","ENEL","Equity","0.13","9.14","6,044,202.00","55,255,279.93","55,255,279.93","Utilities","IT0003128367","Borsa Italiana","Italy","EUR"
"CSX","CSX CORP","Equity","0.13","33.10","1,669,005.00","55,244,065.50","55,244,065.50","Industrials","US1264081035","NASDAQ","United States","USD"
"BDX","BECTON DICKINSON","Equity","0.12","250.47","217,853.00","54,565,640.91","54,565,640.91","Health Care","US0758871091","New York Stock Exchange Inc.","United States","USD"
"ITW","ILLINOIS TOOL INC","Equity","0.12","232.81","232,846.00","54,208,877.26","54,208,877.26","Industrials","US4523081093","New York Stock Exchange Inc.","United States","USD"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Equity","0.12","19.94","2,714,896.00","54,135,353.38","54,135,353.38","Energy","GB00B03MM408","London Stock Exchange","United Kingdom","GBP"
"DTE","DEUTSCHE TELEKOM N AG","Equity","0.12","21.71","2,444,339.00","53,078,527.09","53,078,527.09","Communication","DE0005557508","Xetra","Germany","EUR"
"CI","CIGNA CORP","Equity","0.12","207.47","255,763.00","53,063,149.61","53,063,149.61","Health Care","US1255231003","New York Stock Exchange Inc.","United States","USD"
